State,County,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White)
New Jersey,,80106,79326,80886,,,
New Jersey,Atlantic,59309,55159,63459,31404,43543,69934
New Jersey,Bergen,93805,90273,97337,69954,71150,98605
New Jersey,Burlington,86777,83107,90447,70301,73410,85691
New Jersey,Camden,65817,62849,68785,43971,42025,76672
New Jersey,Cape May,64450,60890,68010,40047,39893,65213
New Jersey,Cumberland,51786,48058,55514,35843,37217,59990
New Jersey,Essex,60284,57891,62677,40394,42620,98762
New Jersey,Gloucester,84639,79660,89618,57809,55283,84576
New Jersey,Hudson,65673,61919,69427,43914,44586,85347
New Jersey,Hunterdon,113083,104707,121459,91216,80863,112690
New Jersey,Mercer,78161,73123,83199,44312,48424,93856
New Jersey,Middlesex,85187,82993,87381,69546,58832,82700
New Jersey,Monmouth,97627,94068,101186,46106,61254,97886
New Jersey,Morris,114269,108812,119726,80934,77899,109790
New Jersey,Ocean,70493,67735,73251,50162,57950,66587
New Jersey,Passaic,63127,59589,66665,39774,42802,87153
New Jersey,Salem,61322,54323,68321,30958,39259,71223
New Jersey,Somerset,111838,105795,117881,73173,75248,109532
New Jersey,Sussex,89744,84640,94848,59965,80738,89759
New Jersey,Union,76830,73945,79715,54861,54084,98384
New Jersey,Warren,79633,74630,84636,84500,53359,76922
