Score,2018 Percentile,2017 Percentile,2016 Percentile
800,99+,99+,99+
790,99+,99+,99+
780,99+,99+,99+
770,99+,99+,99
760,99,99,99
750,99,99,99
740,98,98,98
730,97,98,97
720,97,97,96
710,96,96,95
700,94,95,94
690,93,94,92
680,92,92,91
670,90,91,89
660,88,89,86
650,86,87,84
640,84,85,81
630,81,82,78
620,78,79,75
610,75,77,72
600,72,73,69
590,69,70,66
580,66,67,63
570,63,64,60
560,59,60,56
550,56,57,52
540,52,53,49
530,49,49,45
520,45,46,42
510,42,42,38
500,38,39,35
490,35,35,31
480,31,32,28
470,28,28,25
460,25,25,22
450,22,22,20
440,19,19,17
430,16,16,15
420,14,14,13
410,11,12,11
400,9,10,9
390,8,8,7
380,6,6,6
370,4,5,5
360,3,4,3
350,2,3,3
340,2,2,2
330,1,1,1
320,1,1,1
310,1,1,1
300,1-,1,1-
290,1-,1-,1-
280,1-,1-,1-
270,1-,1-,1-
260,1-,1-,1-
250,1-,1-,1-
240,1-,1-,1-
230,1-,1-,1-
220,1-,1-,1-
210,1-,1-,1-
200,1-,1-,1-
